X,Y,NUMPROG,CODVIA,CIVICO,SUBCIV,PRINCIPA,CODARCO,CODEDIF,PARTKEY,NCIVSUB,CIVKEY,X_T,Y_T,DATA_ISTI,DATA_CESS,CAP,SERV_RSU,DENOMINAZI,SEZ81,SEZ91,SEZ01,QUARTIERE,ZONA,ISOLATO,MESSI,CODLOTTO,SEZ2011,LOC2011,LOC11_NOME,ID_ENTE,SEZIONE,PLESSO,INDIRIZZO,ACCESSO
687174.508209983,4929342.90777639,13255,8850,8,,1,4400,24867,A944_ 204   64,8,088500008000,687258.1800000001,929541.5500000000,19660624,,40125,,VICOLO BOLOGNETTI,56,1455,1550,Santo Stefano,H,H058,Z1A,0,1550,10002,BOLOGNA,A944,88-90-91-92-93-94-95,SCUOLA A. ZAMBONI,"VICOLO BOLOGNETTI, 8",no
687175.05197818,4929317.74336739,13257,8850,10,,1,4400,24867,A944_ 204   64,10,088500010000,687258.7240000000,929516.3850000000,19660624,,40125,,VICOLO BOLOGNETTI,56,1455,1550,Santo Stefano,H,H058,Z1A,0,1550,10002,BOLOGNA,A944,84-85-86-87-89-103-104,SCUOLA MEDIA G. RENI,"VICOLO BOLOGNETTI, 10",si
686738.898015861,4930353.46627307,13656,22950,2,,1,3079,16595,A944_ 162  195,2,229500002000,686822.5530000000,930552.1240000000,19670630,,40126,,VIA ANGELO FINELLI,91,1468,1460,Santo Stefano,H,H069,Z1C,0,1460,10002,BOLOGNA,A944,96-97,SCUOLA MEDIA IRNERIO,"VIA ANGELO FINELLI, 2",no
686235.384687108,4929404.65489155,16893,33300,6,,1,1247,23915,A944_ 188  420,6,333000006000,686319.0400000000,929603.2800000000,19451023,,40124,,PIAZZA MAGGIORE,1,1861,1954,Porto - Saragozza,L,L001,Z2C,0,1954,10002,BOLOGNA,A944,1,PALAZZO COMUNALE,"PIAZZA MAGGIORE, 6",si
685785.744567959,4928998.48150969,17160,52950,9,,1,906,28485,A944_ 200  354,9,529500009000,685869.3959999999,929197.0880000000,19000101,,40123,,VIA SARAGOZZA,12,1891,1987,Porto - Saragozza,L,L031,Z3C,0,1987,10002,BOLOGNA,A944,5-140-141-190-191-192-196,ISTITUTO P. CRESCENZI-L. TANARI,"VIA SARAGOZZA, 9",no
685843.627532155,4929100.42192543,17161,56350,2,,1,919,28485,A944_ 200  354,2,563500002000,685927.2790000000,929299.0320000000,19000101,,40123,,VICOLO STRADELLACCIO,12,1891,1987,Porto - Saragozza,L,L031,Z3C,0,1987,10002,BOLOGNA,A944,2-3-4,LICEO MINGHETTI (SUCC.),"VICOLO STRADELLACCIO, 2",no
685220.479393796,4929135.50142979,16504,44950,3,,1,8712,27986,A944_ 198   79,3,449500003000,685304.1200000000,929334.1000000000,19000101,,40123,,VIALE CARLO PEPOLI,80,1918,1976,Porto - Saragozza,L,L054,Z3C,0,1976,10002,BOLOGNA,A944,9-11-18-19-20,LICEO A. RIGHI,"VIALE CARLO PEPOLI, 3",si
683094.768147675,4931294.63240457,17034,26800,39,,1,2759,11620,A944_ 107  915,39,268000039000,683178.3500000000,931493.2400000000,19351116,,40133,,VIA DEL GIACINTO,177,867,894,Borgo Panigale - Reno,S,S015,Z14B,0,894,10002,BOLOGNA,A944,206-207-208-209,SCUOLA MEDIA ZANOTTI,"VIA DEL GIACINTO, 39",si
685400.008881291,4929405.56141429,17535,30450,37,,1,4356,24241,A944_ 186  220,37,304500037000,685483.6500000000,929604.1700000000,19000101,,40123,,VIA S.ISAIA,31,1904,1945,Porto - Saragozza,L,L044,Z3B,0,1945,10002,BOLOGNA,A944,14-15-16,ISTITUTO L. BASSI,"VIA SANT'ISAIA, 37",si
685510.358621926,4929256.91178377,17315,14100,11,,1,4351,26654,A944_ 199  324,11,141000011000,685594.0030000000,929455.5190000000,19720926,,40123,,VIA CA' SELVATICA,15,1896,1975,Porto - Saragozza,L,L036,Z3C,0,1975,10002,BOLOGNA,A944,6-7-8-10-12-13,SCUOLA MEDIA GUINIZELLI,"VIA CA' SELVATICA, 11",si
686344.28299375,4930458.89758965,17858,25200,74,,1,6470,16316,A944_ 159   51,74,252000074000,686427.9300000001,930657.5500000000,19000101,,40121,,VIA GALLIERA,89,646,612,Porto - Saragozza,M,M071,Z4B,0,612,10002,BOLOGNA,A944,45-49-50-53-54-58-60-62,SCUOLA E. DE AMICIS,"VIA MONTEBELLO, 13",si
685307.106922052,4930095.60674838,18836,11800,8,,1,8798,18791,A944_ 157  403,8,118000008000,685390.7400000000,930294.2300000000,19000101,,40122,,VIA LUIGI CALORI,85,627,658,Porto - Saragozza,M,M053,Z3A,0,658,10002,BOLOGNA,A944,48-56-57-75-81,SCUOLA GUIDI,"VIA LUIGI CALORI, 8",si
685354.78764701,4930046.85697017,18837,28850,8,,1,8794,18791,A944_ 157  403,8,288500008000,685438.4220000000,930245.4800000000,19000101,,40122,,VIA GRAZIANO,85,627,658,Porto - Saragozza,M,M053,Z3A,0,658,10002,BOLOGNA,A944,46-47-51-52-55,SCUOLA MEDIA G.B. GANDINO,"VIA GRAZIANO, 8",no
689854.72525996,4927169.01671481,19218,3300,33,,1,9449,38467,A944_ 279 1043,33,033000033000,689938.4600000000,927367.6600000000,19610913,,40139,,VIA ARNO,514,2002,2118,Savena,N,N065,Z10C,0,2118,10002,BOLOGNA,A944,390-391-396-397-398-406-407-408-409-410,SCUOLA J. PIAGET,"VIA ARNO, 33",si
685949.068400585,4930149.58274479,18395,35200,38,,1,3047,17743,A944_ 158  103,38,352000038000,686032.7120000001,930348.2200000000,19490424,,40122,,VIA GUGLIELMO MARCONI,34,601,627,Porto - Saragozza,M,M029,Z4B,0,627,10002,BOLOGNA,A944,59-61-79-80,ISTITUTO ALDROVANDI-RUBBIANI,"VIA GUGLIELMO MARCONI, 38",si
689420.210659345,4928179.52115962,19084,5150,2,,1,2227,34517,A944_ 244 1115,2,051500002000,689503.9300000001,928378.1800000001,19610922,,40139,,VIA LORENZO BARTOLINI,511,1994,2026,Savena,N,N057,Z10B,0,2026,10002,BOLOGNA,A944,373-374-376-377-378-379-380-388-389-395,SCUOLA VISCARDI,"VIA LORENZO BARTOLINI, 2",no
689758.292105462,4926590.13245185,19758,32510,4,,1,4462,39412,A944_ 277   26,4,325100004000,689842.0300000000,926788.7600000000,19850619,,40139,,VIA LUIGI LONGO,533,2038,2155,Savena,N,N098A,Z11C,0,2155,10002,BOLOGNA,A944,392-399-400-417-418-420-421,SCUOLA MEDIA IL GUERCINO,"VIA LUIGI LONGO, 4",si
690213.068676954,4926826.02882384,19760,50780,21,,1,9451,39096,A944_ 277  271,21,507800021000,690296.8120000000,927024.6710000000,19740825,,40139,,VIALE ROMA,533,2038,2155,Savena,N,N098A,Z11C,0,2155,10002,BOLOGNA,A944,411,ISTITUTO GIOVANNI XXIII,"VIALE ROMA, 21",si
689694.326822221,4928879.28901325,19816,47270,11,,1,2265,42208,A944_ 217   41,11,472700011000,689778.0450000000,929077.9700000000,19751204,,40139,,VIA POPULONIA,597,2042,2003,Savena,N,N101,Z10B,0,2003,10002,BOLOGNA,A944,367-368-369-370-372-375,SCUOLA MEDIA FARINI,"VIA POPULONIA, 11",si
690523.199073382,4927759.5193895,20556,40800,1,,1,2159,36413,A944_ 248  223,1,408000001000,690606.9400000001,927958.1900000001,19610922,,40139,,VIA ETTORE NADALINI,370,1954,2042,Savena,N,N020,Z10B,0,2042,10002,BOLOGNA,A944,401-402-403-404-405,SCUOLA S. DOMENICO SAVIO,"VIA ETTORE NADALINI, 1",no
689265.774442027,4927120.33952528,20301,38480,13,,1,9492,38637,A944_ 275  925,13,384800013000,689349.5000000000,927318.9700000000,19690314,,40139,,VIA MILANO,610,2072,2143,Savena,N,N126,Z11C,0,2143,10002,BOLOGNA,A944,381-382-383-415-416,SCUOLA G. COSTA,"VIA MILANO, 13",si
684065.180596323,4929112.76760175,21440,60800,24,,1,276,28176,A944_ 195  153,24,608000024000,684148.8020000000,929311.3419999999,19511020,,40134,,VIA XXI APRILE 1945,130,1771,1833,Porto - Saragozza,F,F055,Z13A,0,1833,10002,BOLOGNA,A944,32-33-34-35-37-38,SCUOLA XXI APRILE 1945,"VIA XXI APRILE 1945, 24",si
685005.037791746,4929638.21367697,22097,40400,1,,1,959,22402,A944_ 184   50,1,404000001000,685088.6700000000,929836.8200000001,19000101,,40134,,VIA PASQUALE MURATORI,101,1715,1810,Porto - Saragozza,F,F001,Z13B,0,1810,10002,BOLOGNA,A944,17-21-22-25,ISTITUTO ALDROVANDI-RUBBIANI,"VIA PASQUALE MURATORI, 1",si
688392.829853646,4927261.17342954,23792,40450,158,,1,648,38310,A944_ 241  376,158,404500158000,688476.5400000000,927459.7900000000,19510630,,40137,,VIA AUGUSTO MURRI,361,1321,1429,Santo Stefano,O,O074,Z12B,0,1429,10002,BOLOGNA,A944,412-413-414-432,SCUOLA C. TAMBRONI,"VIA AUGUSTO MURRI, 158",no
684609.489002251,4929064.81555386,23106,59500,84,,1,323,28492,A944_ 197   65,84,595000084000,684693.1200000000,929263.4000000000,19491006,,40134,,VIA FILIPPO TURATI,110,1736,1867,Porto - Saragozza,F,F021,Z13B,0,1867,10002,BOLOGNA,A944,23-24-26-27-28-30-31,SCUOLA L.BOMBICCI,"VIA FILIPPO TURATI, 84",no
686870.643035874,4928188.53139243,24479,46950,2,,1,9473,34566,A944_ 235  713,2,469500002000,686954.3200000001,928387.1400000000,19490424,,40136,,VIALE STENIO POLISCHI,408,1363,1377,Santo Stefano,O,O113X,Z12A,0,1377,10002,BOLOGNA,A944,158-159-164-189-193-194-195-197,SCUOLA FORTUZZI (GIARDINI MARGHERITA),"VIALE STENIO POLISCHI, 2",si
688780.168539894,4927855.71155792,24522,31780,14,,1,4415,35873,A944_ 243    6,14,317800014000,688863.8800000000,928054.3500000000,19851106,,40137,,LARGO CARD. GIACOMO LERCARO,502,1368,1353,Santo Stefano,O,O118,Z11A,0,1353,10002,BOLOGNA,A944,172-173-177-181-182-183-184-185-186-187-188,SCUOLA MEDIA PEPOLI,"LARGO CARD. GIACOMO LERCARO, 14",si
688314.979479757,4928238.19161924,25458,5500,20,,1,1593,34295,A944_ 239   62,20,055000020000,688398.6800000001,928436.8300000001,19000101,,40137,,VIA LAURA BASSI VERATTI,334,1283,1328,Santo Stefano,O,O036,Z11A,0,1328,10002,BOLOGNA,A944,161-163-165-166-167-168-170,SCUOLA G. MARCONI,"VIA LAURA BASSI VERATTI, 20",si
683316.80939395,4930504.05008236,31815,7550,13,,1,7208,16158,A944_ 147  763,13,075500013000,683400.4040000000,930702.6430000000,19351016,,40133,,VIA BERRETTA ROSSA,147,851,912,Borgo Panigale - Reno,S,S001B,Z14C,0,912,10002,BOLOGNA,A944,199-200,SCUOLA A. ALBERTAZZI,"VIA BERRETTA ROSSA, 13",no
680214.580164399,4932423.11657632,32140,8300,38,,1,4522,5825,A944_  29  591,38,083000038000,680298.1000000000,932621.6949999999,19670718,,40132,,VIA DOMENICO BIANCOLELLI,560,168,77,Borgo Panigale - Reno,C,C158,Z15B,0,77,10002,BOLOGNA,A944,243-246-247-251-252,SCUOLA MEDIA A. VOLTA,"VIA DOMENICO BIANCOLELLI, 38",si
689513.992581392,4929824.49998086,32196,53550,54,,1,4938,20914,A944_ 173   12,54,535500054000,689597.7000000001,930023.2000000001,19350421,,40138,,VIA SCANDELLARA,308,1556,1676,San Donato - San Vitale,T,T054,Z8A,0,1676,10002,BOLOGNA,A944,124-126-127-128-129-136,SCUOLA SCANDELLARA,"VIA SCANDELLARA, 54",si
688671.18544944,4928461.19924157,34093,37300,172,2,1,1677,33469,A944_ 239    1,172/2,373000172020,688754.8900000000,928659.8500000000,19320801,,40139,,VIA MAZZINI,509,1674,1661,San Donato - San Vitale,T,T166,Z10A,0,1661,10002,BOLOGNA,A944,114-119-120-123-169-178,LICEO E. FERMI,"VIA MAZZINI, 172/2",si
690725.296890949,4929176.42153168,33804,35850,37,,1,9097,27233,A944_ 221  303,37,358500037000,690809.0300000000,929375.1300000000,19640727,,40138,,VIA TOMMASO MARTELLI,441,1657,1752,San Donato - San Vitale,T,T152A,Z9C,0,1752,10002,BOLOGNA,A944,134-135-137-437,SCUOLA L. TEMPESTA,"VIA TOMMASO MARTELLI, 37",si
688131.924588154,4929644.4016211,34761,40700,22,,1,1893,22163,A944_ 193   68,22,407000022000,688215.6100000000,929843.0700000001,19490424,,40138,,VIA MARIO MUSOLESI,291,1537,1593,San Donato - San Vitale,T,T035,Z9B,0,1593,10002,BOLOGNA,A944,102-106-107-108-109-110,SCUOLA GIORDANI,"VIA MARIO MUSOLESI, 22",no
688097.295143579,4930782.59222283,35272,25650,11,,1,8986,14428,A944_ 124  706,11,256500011000,688180.9690000000,930981.2870000000,19920320,,40127,,VIA FERRUCCIO GARAVAGLIA,276,905,1023,San Donato - San Vitale,Q,Q014,Z8B,0,1023,10002,BOLOGNA,A944,335-340-341-342-347-348-352-354,LICEO N. COPERNICO,"VIA FERRUCCIO GARAVAGLIA, 11",si
683689.482693261,4931619.08773999,35934,18900,4,,1,10249,10054,A944_  40  118,4,189000004000,683773.0710000000,931817.7150000000,19930914,,40131,,VIA DALLA VOLTA,183,477,584,Navile,I,I010,Z5B,0,584,10002,BOLOGNA,A944,322-325-326-327-328-330,ISTITUTO R. LUXEMBURG,"VIA DALLA VOLTA, 4",si
688499.774796283,4929108.62015496,36340,62400,56,,1,6344,28099,A944_ 209  617,56,624000056000,688583.4710000000,929307.2830000001,19000101,,40138,,VIA POMPEO VIZZANI,342,1601,1630,San Donato - San Vitale,T,T099,Z10A,0,1630,10002,BOLOGNA,A944,105-112-113-116,SCUOLA DON G. BOSCO,"VIA POMPEO VIZZANI, 56",no
685212.64193097,4932539.85267906,36435,8100,188,,1,6020,92714,A944_  48   57,188,081000188000,685296.2460000000,932738.5320000000,19000101,,40131,,VIA DELLA BEVERARA,187,503,569,Navile,I,I037,Z5C,0,569,10002,BOLOGNA,A944,318-323-324-329,SCUOLA MEDIA SALVO D'ACQUISTO,"VIA DELLA BEVERARA, 188",si
680234.214387858,4932471.93797061,36631,8300,40,,1,4522,5825,A944_  29  591,40,083000040000,680317.7340000001,932670.5180000000,19961024,,40132,,VIA DOMENICO BIANCOLELLI,560,168,77,Borgo Panigale - Reno,C,C158,Z15B,0,77,10002,BOLOGNA,A944,253-254-256-257-258,SCUOLA ELEMENTARE,"VIA DOMENICO BIANCOLELLI, 40",si
683095.467251996,4930336.17661182,124350,54150,31,,1,9345,95627,A944_ 147 1519,31,541500031000,683179.0600000001,930534.7610000001,20120315,,40133,,VIA GIOVANNI SEGANTINI,458,879,925,Borgo Panigale - Reno,S,S027,Z14C,0,925,10002,BOLOGNA,A944,198-201-202-203-204-205,SCUOLA D. DRUSIANI,"VIA GIOVANNI SEGANTINI, 31",si
686661.670165446,4933630.6621412,81168,36280,12,,1,10675,2790,A944_  59  985,12,362800012000,686745.2879999999,933829.3959999999,20010614,,40128,,VIA MARZIALE,486,421,463,Navile,E,E061A,Z6B,0,463,10002,BOLOGNA,A944,296-297-298-301,SCUOLA CROCE COPERTA,"VIA MARZIALE, 12",si
