,Camera Bologna,Senato Bologna,Camera Nazionale,Senato Nazionale
Partito Democratico,29.28,28.16,18.76,19.40
Movimento 5 stelle,21.90,21.97,32.68,23.00
Lega nord,13.59,13.99,17.35,17.61
Forza italia,9.62,9.75,14.00,14.43
Liberi e uguali,8.04,9.57,3.39,3.28
Piu Europa,6.23,5.44,2.56,2.37
Fratelli dâ€™italia,3.58,3.49,4.35,4.26
Potere al popolo,2.60,2.59,1.13,1.06
Italia Europa insieme,1.44,1.25,0.58,0.54
Civica popolare,0.74,0.76,0.54,0.52
Partito comunista,0.67,0.72,0.33,0.34
Casapound,0.55,0.47,0.95,0.86
Unione di centro,0.52,0.44,1.30,1.20
Il Popolo della Famiglia,0.49,0.51,0.67,0.70
Italia agli italiani,0.31,0.32,0.39,0.50
Per una sinistra rivoluzionaria,0.22,0.26,0.09,0.11
Partito Repubblicano Italiano,0.16,0.18,0.06,0.09
Destre Unite Forconi,-,0.12,-,0.14
